Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C219, C220, C221",C_0402,21,1uF,C52923
"J1, J2",PinHeader_2x30_P2.54mm_Vertical,2,Conn_02x30_Odd_Even,
"J3, J4",PinHeader_2x22_P2.54mm_Vertical,2,Conn_02x22_Odd_Even,
J5,CT3151,1,RED V+,
J6,CT3151,1,BLUE V-,
"R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R134, R135, R136, R137, R138, R139, R141, R146, R149, R151, R153, R154",R_0402,43,1.5kΩ,C25867
"U1, U2, U3, U4, U5, U6, U7",TSSOP-16_4.4x5mm_P0.65mm,7,MC74HC238ADTR2G,C904037
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U8, U9",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,12,SN74HC32DR,C6838
"U101, U102, U105, U106, U107, U108, U109, U110, U111, U112, U113, U114, U115, U116, U117, U118, U119, U120, U121, U122, U123, U124, U125, U126, U127, U128, U129, U130, U133, U134, U139, U142, U143, U144, U145, U146, U147, U149, U154, U157, U159, U161, U162",SOP-4_3.8x4.1mm_P2.54mm,43,CPC1017N,C81521
U21,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM,1,Seeeduino XIAO SAMD21,
U22,SOT-23-5,1,TLV77333PDBVR,C34443490
